Protocol,Source_IP,Destination_IP
TCP,20.184.175.12,10.22.60.91
TCP,20.184.175.12,10.22.60.91
TCP,20.184.175.12,10.22.60.91
TCP,20.184.175.12,10.22.60.91
TCP,20.184.175.12,10.22.60.91
TCP,10.22.60.91,20.184.175.12
TCP,10.22.60.91,20.184.175.12
TCP,10.22.60.91,20.184.175.12
TCP,52.123.129.14,10.22.60.91
TCP,20.184.175.12,10.22.60.91
TCP,10.22.60.91,150.171.109.129
TCP,150.171.109.129,10.22.60.91
UDP,172.217.26.106,10.22.60.91
UDP,10.22.60.91,172.217.26.106
TCP,10.22.60.91,52.168.117.171
TCP,10.22.60.91,52.168.117.171
TCP,18.226.127.158,10.22.60.91
UDP,10.22.60.91,10.22.60.18
TCP,10.22.60.91,18.226.127.158
UDP,10.22.60.91,10.22.60.18
UDP,10.22.60.18,10.22.60.91
TCP,10.22.60.91,13.89.179.11
TCP,52.168.117.171,10.22.60.91
TCP,52.168.117.171,10.22.60.91
TCP,52.168.117.171,10.22.60.91
TCP,52.168.117.171,10.22.60.91
TCP,52.168.117.171,10.22.60.91
TCP,52.168.117.171,10.22.60.91
TCP,10.22.60.91,52.168.117.171
TCP,13.89.179.11,10.22.60.91
TCP,10.22.60.91,13.89.179.11
TCP,10.22.60.91,13.89.179.11
TCP,10.22.60.91,150.171.109.129
TCP,150.171.109.129,10.22.60.91
TCP,52.168.117.171,10.22.60.91
TCP,10.22.60.91,52.168.117.171
TCP,13.89.179.11,10.22.60.91
TCP,13.89.179.11,10.22.60.91
TCP,10.22.60.91,13.89.179.11
TCP,20.192.44.82,10.22.60.91
TCP,10.22.60.91,20.192.44.82
TCP,13.89.179.11,10.22.60.91
UDP,10.22.60.91,172.217.26.106
TCP,13.89.179.11,10.22.60.91
TCP,10.22.60.91,13.89.179.11
TCP,13.89.179.11,10.22.60.91
TCP,13.89.179.11,10.22.60.91
TCP,13.89.179.11,10.22.60.91
TCP,10.22.60.91,13.89.179.11
TCP,10.22.60.91,13.89.179.11
UDP,10.22.60.91,172.217.26.106
UDP,172.217.26.106,10.22.60.91
UDP,172.217.26.106,10.22.60.91
TCP,20.192.44.82,10.22.60.91
TCP,10.22.60.91,20.192.44.82
TCP,13.89.179.11,10.22.60.91
TCP,13.89.179.11,10.22.60.91
TCP,13.89.179.11,10.22.60.91
TCP,13.89.179.11,10.22.60.91
TCP,13.89.179.11,10.22.60.91
TCP,13.89.179.11,10.22.60.91
TCP,13.89.179.11,10.22.60.91
TCP,10.22.60.91,13.89.179.11
TCP,10.22.60.91,13.89.179.11
TCP,10.22.60.91,13.89.179.11
TCP,151.101.37.91,10.22.60.91
TCP,10.22.60.91,150.171.109.129
TCP,10.22.60.91,151.101.37.91
TCP,150.171.109.129,10.22.60.91
TCP,13.89.179.11,10.22.60.91
TCP,13.89.179.11,10.22.60.91
UDP,172.217.26.106,10.22.60.91
UDP,10.22.60.91,142.251.106.94
UDP,10.22.60.91,142.251.106.94
UDP,10.22.60.91,142.251.106.94
UDP,10.22.60.91,10.22.60.18
UDP,10.22.60.91,10.22.60.18
TCP,146.75.121.91,10.22.60.91
TCP,10.22.60.91,146.75.121.91
UDP,10.22.60.18,10.22.60.91
UDP,10.22.60.18,10.22.60.91
UDP,10.22.60.91,142.250.182.106
UDP,10.22.60.91,142.250.182.106
UDP,10.22.60.91,142.250.182.106
UDP,10.22.60.91,142.250.182.106
UDP,142.251.106.94,10.22.60.91
UDP,142.251.106.94,10.22.60.91
UDP,142.251.106.94,10.22.60.91
UDP,142.251.106.94,10.22.60.91
UDP,142.251.106.94,10.22.60.91
UDP,10.22.60.91,142.251.106.94
UDP,10.22.60.91,142.251.106.94
UDP,10.22.60.91,142.251.106.94
UDP,10.22.60.91,142.251.106.94
UDP,142.251.106.94,10.22.60.91
UDP,142.250.182.106,10.22.60.91
UDP,142.250.182.106,10.22.60.91
UDP,142.250.182.106,10.22.60.91
UDP,10.22.60.91,142.250.182.106
UDP,10.22.60.91,142.250.182.106
UDP,142.250.182.106,10.22.60.91
UDP,142.250.182.106,10.22.60.91
UDP,142.250.182.106,10.22.60.91
UDP,142.250.182.106,10.22.60.91
UDP,142.251.106.94,10.22.60.91
UDP,142.251.106.94,10.22.60.91
UDP,142.251.106.94,10.22.60.91
UDP,10.22.60.91,142.251.106.94
UDP,10.22.60.91,142.250.182.106
UDP,10.22.60.91,142.250.182.106
UDP,10.22.60.91,142.250.182.106
UDP,142.251.106.94,10.22.60.91
UDP,10.22.60.91,142.251.106.94
UDP,10.22.60.91,142.251.106.94
UDP,142.251.106.94,10.22.60.91
UDP,10.22.60.91,142.251.106.94
UDP,142.251.106.94,10.22.60.91
